,minimum,maximum
rxn03253,0.0,13.71837
rxn02720,0.0,13.71837
rxn00946,0.0,41.15511
rxn02679,0.0,3.027075
rxn02803,0.0,13.71837
rxn03251,0.0,3.027075
rxn00872,0.0,2.867755
rxn01451,0.0,1000.0
rxn01451_REV,0.0,1000.0
rxn03242,0.0,1000.0
rxn03242_REV,0.0,1000.0
rxn03239,0.0,1000.0
rxn03239_REV,0.0,1000.0
rxn06777,0.0,1000.0
rxn06777_REV,0.0,1000.0
rxn03244,0.0,1000.0
rxn03244_REV,0.0,1000.0
rxn03249,0.0,1000.0
rxn03249_REV,0.0,1000.0
rxn03246,0.0,1000.0
rxn03246_REV,0.0,1000.0
rxn02122,0.0,1000.0
rxn02122_REV,0.0,1000.0
rxn01387,0.0,1000.0
rxn01387_REV,0.0,1000.0
rxn00616,0.0,1000.0
rxn00616_REV,0.0,1000.0
rxn00501,0.0,1000.0
rxn00501_REV,0.0,1000.0
rxn10125,0.0,1000.0
rxn10125_REV,0.0,1000.0
rxn01851,0.0,11.755036
rxn13812,0.0,-0.0
rxn01297,0.0,1000.0
rxn01297_REV,0.0,1000.0
rxn01522,0.0,-0.0
rxn00288,0.0,13.937692
rxn10126,0.0,39.636355
rJB00270,0.0,39.636355
rxn06493,0.0,1000.0
rxn06493_REV,0.0,1000.0
rxn13808,0.0,1000.0
rxn13808_REV,0.0,1000.0
rxn00623,0.0,999.874171
rxn00623_REV,0.125829,1000.0
rxn00506,0.0,27.972764
rxn00779,0.0,1000.0
rxn13726,0.0,39.636355
rJB00264,0.0,39.636355
rxn10122,0.0,0.0
rxn00604,0.0,1000.0
rxn00604_REV,0.0,1000.0
rJB00276,0.0,1000.0
rJB00276_REV,0.0,1000.0
rxn00671,0.0,1000.0
rxn00671_REV,0.0,1000.0
rxn01115,0.0,0.0
rxn00338,0.0,0.0
rxn00248,0.0,1000.0
rxn00248_REV,0.0,1000.0
rxn05353,0.0,3.658703
rxn05356,0.0,14.297087
rxn05355,0.0,14.244177
rxn05354,0.0,41.332889
rxn05357,0.0,3.658703
rxn05352,0.0,3.658703
rxn05351,0.0,14.191266
rxn05338,0.0,999.368373
rxn05338_REV,0.631627,1000.0
rxn00611,0.0,41.15511
rxn00612,0.0,41.15511
rxn05436,0.0,0.0
rxn05448,0.0,0.0
rxn05442,0.0,0.0
rxn05437,0.0,0.0
rxn05449,0.0,0.0
rxn05443,0.0,0.0
rxn05438,0.0,0.0
rxn05450,0.0,0.0
rxn05444,0.0,0.0
rxn05433,0.0,0.0
rxn05445,0.0,0.0
rxn05439,0.0,0.0
rxn05446,0.0,0.0
rxn05434,0.0,0.0
rxn05440,0.0,0.0
rxn05435,0.0,0.0
rxn05447,0.0,0.0
rxn05441,0.0,0.0
rxn05322,0.0,3.658703
rxn05327,0.0,14.297087
rxn05324,0.0,14.244177
rxn13838,0.0,0.177779
rxn05328,0.0,41.332889
rxn05326,0.0,3.658703
rxn13850,0.0,14.191266
rxn08396,0.0,0.015565
rxn05325,0.0,3.658703
rxn05323,0.0,14.191266
rxn05464,0.0,0.015565
rxn02866,0.0,3.205138
rxn05339,0.0,999.368373
rxn05339_REV,0.631627,1000.0
rxn05337,0.0,999.368373
rxn05337_REV,0.631627,1000.0
rxn13844,0.0,1000.0
rxn13844_REV,0.0,1000.0
rxn05341,0.0,999.368373
rxn05341_REV,0.631627,1000.0
rxn05336,0.0,999.527104
rxn05336_REV,0.472896,1000.0
rxn05372,0.0,1000.0
rxn05372_REV,0.0,1000.0
rxn05422,0.0,1000.0
rxn05422_REV,0.0,1000.0
rxn05397,0.0,1000.0
rxn05397_REV,0.0,1000.0
rxn05376,0.0,1000.0
rxn05376_REV,0.0,1000.0
rxn05426,0.0,1000.0
rxn05426_REV,0.0,1000.0
rxn05401,0.0,1000.0
rxn05401_REV,0.0,1000.0
rxn05380,0.0,1000.0
rxn05380_REV,0.0,1000.0
rxn05430,0.0,1000.0
rxn05430_REV,0.0,1000.0
rxn05405,0.0,1000.0
rxn05405_REV,0.0,1000.0
rxn05461,0.0,1000.0
rxn05461_REV,0.0,1000.0
rxn07993,0.223463,1000.0
rxn07993_REV,0.0,999.776537
rxn05340,0.0,999.421283
rxn05340_REV,0.578717,1000.0
rxn05342,0.0,999.527104
rxn05342_REV,0.472896,1000.0
rxn05360,0.0,1000.0
rxn05360_REV,0.0,1000.0
rxn05410,0.0,1000.0
rxn05410_REV,0.0,1000.0
rxn05385,0.0,1000.0
rxn05385_REV,0.0,1000.0
rxn05414,0.0,1000.0
rxn05414_REV,0.0,1000.0
rxn05364,0.0,1000.0
rxn05364_REV,0.0,1000.0
rxn05389,0.0,1000.0
rxn05389_REV,0.0,1000.0
rxn05368,0.0,1000.0
rxn05368_REV,0.0,1000.0
rxn05418,0.0,1000.0
rxn05418_REV,0.0,1000.0
rxn05393,0.0,1000.0
rxn05393_REV,0.0,1000.0
rxn00083,0.0,1000.0
rxn00083_REV,0.0,1000.0
rxn11245,0.481704,3.686842
rxn00160,0.0,0.0
rxn00781,0.0,1000.0
rxn00781_REV,0.0,1000.0
rxn00199,0.0,1000.0
rxn00199_REV,0.0,1000.0
rxn08398,0.223463,0.223463
rxn03532,0.0,1000.0
rxn03532_REV,0.0,1000.0
rxn13839,0.0,1000.0
rxn13839_REV,0.0,1000.0
rxn13790,0.0,41.15511
rxn03897,0.0,0.0
rxn05289,0.224079,1000.0
rxn05289_REV,0.0,999.775921
rxn02842,0.0,1000.0
rxn02842_REV,0.0,1000.0
rxn13909,0.0,1000.0
rxn13909_REV,0.0,1000.0
rxn01643,0.576142,28.548906
rJB00277,0.0,1000.0
rJB00277_REV,0.0,1000.0
rxn00211,0.0,1000.0
rxn00211_REV,0.0,1000.0
