KPN_00003;2.7.1.39
KPN_00004;4.2.3.1
KPN_00039;1.17.1.8
KPN_00073;4.2.1.10
KPN_00077;4.2.1.33
KPN_00077;4.2.1.35
KPN_00078;4.2.1.33
KPN_00078;4.2.1.35
KPN_00079;1.1.1.85
KPN_00089;6.3.2.13
KPN_00090;6.3.2.10
KPN_00091;2.7.8.13
KPN_00092;6.3.2.9
KPN_00094;2.4.1.227
KPN_00095;6.3.2.8
KPN_00100;3.5.1.108
KPN_00179;2.3.1.117
KPN_00188;2.7.7.41
KPN_00192;2.3.1.191
KPN_00194;2.3.1.129
KPN_00195;2.4.1.182
KPN_00198;6.4.1.2
KPN_00214;3.1.3.82
KPN_00214;3.1.3.83
KPN_00236;5.3.1.28
KPN_00329;1.5.1.2
KPN_00477;6.3.4.18
KPN_00478;5.4.99.18
KPN_00480;3.6.1.54
KPN_00773;5.1.3.2
KPN_00936;2.5.1.19
KPN_00942;2.7.1.130
KPN_00983;4.2.1.59
KPN_00983;5.3.3.14
KPN_01074;3.5.2.3
KPN_01090;2.3.1.39
KPN_01091;1.1.1.100
KPN_01093;2.3.1.179
KPN_01096;2.7.4.9
KPN_01139;4.3.2.2
KPN_01255;4.1.1.48
KPN_01255;5.3.1.24
KPN_01256;4.1.3.27
KPN_01256;2.4.2.18
KPN_01257;4.1.3.27
KPN_01277;4.1.1.23
KPN_01515;5.3.1.8
KPN_02202;2.7.7.9
KPN_02230;2.5.1.55
KPN_02410;2.7.8.5
KPN_02475;2.4.2.17
KPN_02476;1.1.1.23
KPN_02477;2.6.1.9
KPN_02478;4.2.1.19
KPN_02478;3.1.3.15
KPN_02480;5.3.1.16
KPN_02482;3.6.1.31
KPN_02482;3.5.4.19
KPN_02492;5.1.3.6
KPN_02493;1.1.1.22
KPN_02702;2.4.2.14
KPN_02706;6.4.1.2
KPN_02713;2.3.1.41
KPN_02719;4.2.3.5
KPN_02805;3.5.1.18
KPN_02810;6.3.2.6
KPN_02812;4.3.3.7
KPN_02824;6.3.3.1
KPN_02833;6.3.5.2
KPN_02834;1.1.1.205
KPN_02882;6.3.5.3
KPN_02908;2.7.8.8
KPN_02920;5.4.99.5
KPN_02920;4.2.1.51
KPN_02922;5.4.99.5
KPN_02922;1.3.1.12
KPN_03112;2.7.1.25
KPN_03113;2.7.7.4
KPN_03114;2.7.7.4
KPN_03118;1.8.1.2
KPN_03119;1.8.1.2
KPN_03124;6.3.4.2
KPN_03226;2.3.1.1
KPN_03236;2.1.1.45
KPN_03252;4.1.1.20
KPN_03436;2.3.1.51
KPN_03586;5.4.2.10
KPN_03599;2.5.1.7
KPN_03608;3.1.3.45
KPN_03665;6.4.1.2
KPN_03665;6.3.4.14
KPN_03760;4.2.3.4
KPN_03799;1.2.1.11
KPN_03952;1.1.1.94
KPN_03963;5.1.3.20
KPN_03983;2.4.2.10
KPN_03996;2.7.4.8
KPN_04134;2.6.1.16
KPN_04135;2.7.7.23
KPN_04135;2.3.1.157
KPN_04233;2.5.1.48
KPN_04247;1.2.1.38
KPN_04248;2.7.2.8
KPN_04256;5.1.1.3
KPN_04269;2.6.1.42
KPN_04270;4.2.1.9
KPN_04273;1.1.1.86
KPN_04308;5.1.1.7
KPN_04350;1.3.1.98
KPN_04387;6.3.4.13
KPN_04388;2.1.2.3
KPN_04388;3.5.4.10
KPN_04394;2.3.1.46
KPN_04429;2.3.1.15
KPN_04557;4.1.1.65
KPN_04576;6.3.4.4
KPN_04657;2.1.3.2
KPN_04659;2.1.3.3
