PA14_00290;1.1.1.25
PA14_03430;1.2.1.16
PA14_03430;1.2.1.79
PA14_03430;1.2.1.20
PA14_04310;5.3.1.6
PA14_04480;2.1.1.45
PA14_04580;1.5.1.3
PA14_05260;2.1.3.2
PA14_05620;3.3.1.1
PA14_07090;2.5.1.6
PA14_07130;2.2.1.1
PA14_07580;2.3.1.15
PA14_07590;4.1.2.25
PA14_07590;5.1.99.8
PA14_07590;1.13.11.81
PA14_07910;5.1.3.1
PA14_11470;3.1.3.27
PA14_11550;2.2.1.7
PA14_11560;2.5.1.1
PA14_11560;2.5.1.10
PA14_11560;2.5.1.29
PA14_12060;3.4.16.4
PA14_14820;2.7.4.6
PA14_14880;1.17.7.1
PA14_14880;1.17.7.3
PA14_15310;1.1.1.205
PA14_15340;6.3.5.2
PA14_15740;6.3.5.3
PA14_16700;2.7.4.3
PA14_16950;2.3.1.117
PA14_17030;2.6.1.17
PA14_17080;2.7.4.22
PA14_17120;2.7.7.41
PA14_17130;1.1.1.267
PA14_17180;2.3.1.191
PA14_17190;4.2.1.59
PA14_17210;2.3.1.129
PA14_17220;2.4.1.182
PA14_17340;2.7.7.60
PA14_17420;4.6.1.12
PA14_18710;3.5.2.3
PA14_20950;2.3.1.180
PA14_21410;3.1.3.1
PA14_23220;2.1.1.222
PA14_23220;2.1.1.64
PA14_23320;2.7.4.25
PA14_23560;6.1.1.17
PA14_23800;1.2.1.11
PA14_23880;6.3.2.12
PA14_23880;6.3.2.17
PA14_23920;2.4.2.14
PA14_25510;2.7.1.130
PA14_25550;1.3.1.98
PA14_25640;2.3.1.15
PA14_25650;2.3.1.39
PA14_25660;1.1.1.100
PA14_25710;4.1.3.38
PA14_26890;4.1.1.23
PA14_30110;4.3.2.2
PA14_30670;2.7.8.5
PA14_36570;2.4.1.21
PA14_39190;3.6.1.27
PA14_41350;1.5.1.5
PA14_41350;3.5.4.9
PA14_41400;3.6.1.54
PA14_41820;2.6.1.85
PA14_42760;4.2.3.5
PA14_43680;4.2.1.59
PA14_43680;5.3.3.14
PA14_43690;2.3.1.41
PA14_49380;3.5.1.18
PA14_51240;6.3.2.6
PA14_51270;4.3.3.7
PA14_52040;6.3.3.1
PA14_52580;2.7.2.4
PA14_57260;3.5.1.108
PA14_57330;6.3.2.8
PA14_57340;2.4.1.227
PA14_57370;6.3.2.9
PA14_57380;2.7.8.13
PA14_57390;6.3.2.10
PA14_57410;6.3.2.13
PA14_57810;2.5.1.7
PA14_60330;1.17.7.4
PA14_60470;2.5.1.90
PA14_61580;4.99.1.1
PA14_61580;4.99.1.9
PA14_61660;5.1.1.3
PA14_61710;1.2.1.70
PA14_61750;2.7.1.148
PA14_61770;2.7.6.1
PA14_62120;2.7.8.8
PA14_62830;5.3.1.1
PA14_62840;5.4.2.10
PA14_62850;2.5.1.15
PA14_62940;1.17.1.8
PA14_64200;2.1.2.3
PA14_64200;3.5.4.10
PA14_64220;6.3.4.13
PA14_65230;6.3.4.4
PA14_65500;4.1.1.65
PA14_66550;4.1.1.37
PA14_66600;4.2.3.4
PA14_66610;2.7.1.71
PA14_66900;2.1.1.163
PA14_66900;2.1.1.201
PA14_69240;4.2.1.24
PA14_69440;4.2.1.75
PA14_69450;2.5.1.61
PA14_69690;5.1.1.7
PA14_70270;5.4.2.8
PA14_70270;5.4.2.2
PA14_70370;2.4.2.10
PA14_70440;2.7.4.8
PA14_70720;4.1.3.40
PA14_70730;2.5.1.39
PA14_73170;2.6.1.16
PA14_73220;2.7.7.23
PA14_73220;2.3.1.157
