PA0024;1.3.3.3
PA0342;2.1.1.45
PA0353;4.2.1.9
PA0402;2.1.3.2
PA0546;2.5.1.6
PA0581;2.3.1.15
PA1010;4.3.3.7
PA1013;6.3.2.6
PA1959;3.6.1.27
PA2584;2.7.8.5
PA2876;4.1.1.23
PA2964;4.1.3.38
PA2969;2.3.1.15
PA3108;2.4.2.14
PA3111;6.3.2.12
PA3111;6.3.2.17
PA3134;6.1.1.17
PA3296;3.1.3.1
PA3333;2.3.1.180
PA3651;2.7.7.41
PA3666;2.3.1.117
PA3763;6.3.5.3
PA3769;6.3.5.2
PA3803;1.17.7.1
PA3803;1.17.7.3
PA4043;2.5.1.1
PA4043;2.5.1.10
PA4043;2.5.1.29
PA4044;2.2.1.7
PA4050;3.1.3.27
PA4411;6.3.2.8
PA4414;6.3.2.9
PA4416;6.3.2.10
PA4417;6.3.2.13
PA4557;1.17.7.4
PA4569;2.5.1.90
PA4693;2.7.8.8
PA4695;2.2.1.6
PA4696;2.2.1.6
PA4750;2.5.1.15
PA4855;6.3.4.13
PA4957;4.1.1.65
PA5243;4.2.1.24
PA5260;2.5.1.61
PA5277;4.1.1.20
PA5358;2.5.1.39
PA5552;2.7.7.23
PA5552;2.3.1.157
