b0003;2.7.1.39
b0004;4.2.3.1
b0009;2.7.7.75
b0025;2.7.1.26
b0025;2.7.7.2
b0031;1.17.1.8
b0052;1.1.1.262
b0071;4.2.1.33
b0071;4.2.1.35
b0072;4.2.1.33
b0072;4.2.1.35
b0073;1.1.1.85
b0074;2.3.3.13
b0085;6.3.2.13
b0086;6.3.2.10
b0087;2.7.8.13
b0088;6.3.2.9
b0090;2.4.1.227
b0091;6.3.2.8
b0096;3.5.1.108
b0103;2.7.1.24
b0109;2.4.2.19
b0131;4.1.1.11
b0133;6.3.2.1
b0134;2.1.2.11
b0142;2.7.6.3
b0154;5.4.3.8
b0159;3.2.2.9
b0166;2.3.1.117
b0173;1.1.1.267
b0174;2.5.1.31
b0175;2.7.7.41
b0179;2.3.1.191
b0180;4.2.1.59
b0181;2.3.1.129
b0182;2.4.1.182
b0185;6.4.1.2
b0185;2.1.3.15
b0369;4.2.1.24
b0386;1.5.1.2
b0414;3.5.4.26
b0414;1.1.1.193
b0415;2.5.1.78
b0417;2.7.4.16
b0420;2.2.1.7
b0421;2.5.1.1
b0421;2.5.1.10
b0423;2.8.1.4
b0475;4.99.1.1
b0475;4.99.1.9
b0522;6.3.4.18
b0523;5.4.99.18
b0524;3.6.1.54
b0639;2.7.7.18
b0720;2.3.3.1
b0750;2.5.1.72
b0774;2.6.1.62
b0775;2.8.1.6
b0776;2.3.1.47
b0778;6.3.3.3
b0781;4.1.99.22
b0783;4.6.1.17
b0785;2.8.1.12
b0826;2.7.7.80
b0827;2.10.1.1
b0907;2.6.1.52
b0908;2.5.1.19
b0915;2.7.1.130
b0918;2.7.7.38
b0928;2.6.1.1
b1062;3.5.2.3
b1091;2.3.1.180
b1092;2.3.1.39
b1093;1.1.1.100
b1096;4.1.3.38
b1098;2.7.4.9
b1131;4.3.2.2
b1136;1.1.1.42
b1208;2.7.1.148
b1210;1.2.1.70
b1215;2.5.1.55
b1262;4.1.1.48
b1262;5.3.1.24
b1263;4.1.3.27
b1263;2.4.2.18
b1264;4.1.3.27
b1277;3.5.4.25
b1281;4.1.1.23
b1288;1.3.1.9
b1288;1.3.1.10
b1415;1.2.1.22
b1415;1.2.1.21
b1662;2.5.1.9
b1693;4.2.1.10
b1740;6.3.1.5
b1812;2.6.1.85
b2019;2.4.2.17
b2020;1.1.1.23
b2021;2.6.1.9
b2022;4.2.1.19
b2022;3.1.3.15
b2023;4.3.2.10
b2024;5.3.1.16
b2025;4.3.2.10
b2026;3.6.1.31
b2026;3.5.4.19
b2103;2.7.1.49
b2103;2.7.4.7
b2153;3.5.4.16
b2311;2.5.1.129
b2312;2.4.2.14
b2315;6.3.2.12
b2315;6.3.2.17
b2316;6.4.1.2
b2316;2.1.3.15
b2320;1.1.1.290
b2323;2.3.1.41
b2329;4.2.3.5
b2400;6.1.1.17
b2472;3.5.1.18
b2476;6.3.2.6
b2478;4.3.3.7
b2499;6.3.3.1
b2507;6.3.5.2
b2515;1.17.7.1
b2515;1.17.7.3
b2530;2.8.1.7
b2557;6.3.5.3
b2564;2.6.99.2
b2585;2.7.8.8
b2599;5.4.99.5
b2599;4.2.1.51
b2600;5.4.99.5
b2600;1.3.1.12
b2615;2.7.1.23
b2687;4.4.1.21
b2746;4.6.1.12
b2747;2.7.7.60
b2750;2.7.1.25
b2751;2.7.7.4
b2752;2.7.7.4
b2763;1.8.1.2
b2764;1.8.1.2
b2780;6.3.4.2
b2818;2.3.1.1
b2827;2.1.1.45
b2838;4.1.1.20
b2942;2.5.1.6
b3018;2.3.1.51
b3041;4.1.99.12
b3058;4.1.2.25
b3058;5.1.99.8
b3058;1.13.11.81
b3172;6.3.4.5
b3176;5.4.2.10
b3177;2.5.1.15
b3187;2.5.1.90
b3189;2.5.1.7
b3198;3.1.3.45
b3256;6.4.1.2
b3256;6.3.4.14
b3359;2.6.1.11
b3359;2.6.1.17
b3360;2.6.1.85
b3368;2.1.1.107
b3368;1.3.1.76
b3368;4.99.1.4
b3389;4.2.3.4
b3412;3.1.1.85
b3433;1.2.1.11
b3607;2.3.1.30
b3608;1.1.1.94
b3633;2.4.99.12
b3633;2.4.99.13
b3633;2.4.99.14
b3633;2.4.99.15
b3634;2.7.7.3
b3639;4.1.1.36
b3639;6.3.2.5
b3642;2.4.2.10
b3648;2.7.4.8
b3729;2.6.1.16
b3730;2.7.7.23
b3730;2.3.1.157
b3770;2.6.1.42
b3771;4.2.1.9
b3774;1.1.1.86
b3804;4.2.1.75
b3805;2.5.1.61
b3809;5.1.1.7
b3843;4.1.1.98
b3857;2.7.7.77
b3939;2.5.1.48
b3941;1.5.1.20
b3957;3.5.1.16
b3958;1.2.1.38
b3959;2.7.2.8
b3960;4.3.2.1
b3967;5.1.1.3
b3972;1.3.1.98
b3974;2.7.1.33
b3990;4.1.99.19
b3991;2.8.1.10
b3992;2.7.7.73
b3993;2.5.1.3
b3994;4.1.99.17
b3997;4.1.1.37
b4005;6.3.4.13
b4006;2.1.2.3
b4006;3.5.4.10
b4013;2.3.1.46
b4013;2.3.1.31
b4039;4.1.3.40
b4040;2.5.1.39
b4160;4.1.1.65
b4177;6.3.4.4
b4214;3.1.3.7
b4245;2.1.3.2
