,maximum,minimum
HELP_MNXM1026_MNXC3,0.0,0.0
HELP_MNXM149_MNXC3,0.0,0.0
HELP_MNXM161_MNXC3,0.0,0.0
HELP_MNXM2255_MNXC3,0.0,0.0
HELP_MNXM256_MNXC3,0.0,0.0
HELP_MNXM270_MNXC3,-0.0,0.0
HELP_MNXM33_MNXC3,-0.0,0.0
HELP_MNXM3673_MNXC3,0.0,0.0
HELP_MNXM394_MNXC3,0.0,0.0
HELP_MNXM58_MNXC3,0.0,0.0
R1037F9D2,99999.0,0.0
R10537924,99999.0,-99999.0
R105A9BCB,99999.0,0.0
R10BF5103,99999.0,0.0
R10DA26CA,-0.487,-99999.0
R10DA3E48,99999.0,0.0
R1105ABB5,0.0,0.0
R11556A06,99999.0,0.0
R116BDA54,99999.0,0.0
R11895B3D,0.0,-99999.0
R118A7B70,99999.0,0.0
R11F82095,99999.0,0.0
R121DA48E,0.0,0.0
R12393D9C,0.0,0.0
R12515662,99999.0,-99999.0
R128CB76E,0.0,0.0
R12A328E8,99999.0,-99999.0
R12AA422F,99999.0,0.0
R12B91F7A,0.0,-99999.0
R133CAA26,0.0,-12499.875
R13409B85,99999.0,-99999.0
R136DA238,99995.94,0.0
R138F4301,99999.0,-99999.0
R13CCCB98,99999.0,0.0
R13CDDADA,99999.0,0.0
R14490BF8,99999.0,0.0
R1460C72,0.0,-99986.3827
R1478E2F5,99999.0,-99999.0
R14957F70,99998.513,-99999.0
R14B773AB,99999.0,0.0
R15001D95,33328.794343,0.0
R15122464,99999.0,-99999.0
R15123304,99999.0,0.0
R155638A6,99999.0,0.0
R158036B3,99999.0,-99999.0
R159E5C03,0.0,0.0
R15B913A7,99999.0,-99999.0
R15D0E01E,99999.0,-99999.0
R15DF7064,99998.99989,-0.00011
R15FCF30F,14285.571429,0.0
R166F3A71,0.0,-99999.0
R1695EE12,0.0,0.0
R169F6A61,14285.571429,0.0
R16AA0DCC,99999.0,-99999.0
R16FBD0E6,99999.0,-99999.0
R16FE9DF2,99999.0,-99999.0
R1713CAFD,99999.0,-99999.0
R1720A426,99986.3827,0.0
R1723CBEB,99999.0,-99999.0
R1723F3F3,99999.0,0.0
R1835C7C4,99986.3827,0.0
R184BBAEB,19444.25,0.0
R1867E3BC,99999.0,0.0
R18775C3C,99999.0,-99999.0
R189E9A8E,99999.0,0.0
R18A8E610,99999.0,-0.0
R18BEE766,0.0,-99995.94
R18DA9AA6,99999.0,0.0
R18E86EAA,99999.0,0.0
R18E8BAB6,99999.0,-99999.0
R18FA7D8A,99999.0,-99999.0
R19302B30,0.0,-99999.0
R193155B0,0.0,0.0
R1942C634,-0.0,0.0
R1988A3CF,0.0,-99999.0
R19C935D9,99999.0,0.0
R19CF7AB0,99999.0,0.0
R19DC042B,-0.487,-99999.0
R1A8C5F4D,99999.0,0.0
R1AB5D34A,99999.0,-99998.99978
R1AC59AD5,0.0,0.0
R1AD7B4FF,0.0,0.0
R1B34A726,99999.0,0.0
R1B461407,99999.0,-99999.0
R1B68F2C3,99986.3827,0.0
R1B907D2,99999.0,0.0
R1BD00C68,0.0,-99999.0
R1C00D5C,0.0,0.0
R1C260C6A,0.0,-99999.0
R1C28D085,0.0,0.0
R1CB11606,99999.0,0.0
R1CDED4D0,99999.0,0.0
R1D1D5AE8,0.0,-99986.3827
R1D273CBA,99999.0,-99999.0
R1D33A896,99999.0,-99999.0
R1D524CA3,0.0,0.0
R1D664E61,99999.0,-99999.0
R1D91677F,99999.0,-99999.0
R1D998169,99999.0,0.0
R1DA80DB5,99999.0,0.0
R1DC9C3F9,99986.3827,0.0
R1DE5D3AE,0.0,-99999.0
R1DF0AF06,99999.0,0.0
R1E02EF1F,0.0,0.0
R1E059FBE,99999.0,-0.0
R1E10E13A,99999.0,0.0
R1E7C6687,99999.0,0.0
R1E93863E,99999.0,-99999.0
R1EBE00B8,99999.0,-99999.0
R1F1A91AC,0.0,0.0
R1F2654AC,99999.0,-99999.0
R1F51BEBC,0.0,0.0
R1F5AA46D,99999.0,-99999.0
R1F6F6102,99999.0,-99999.0
R1F73F81,99999.0,-99999.0
R1FA68D76,99999.0,0.0
R1FC5FEB3,99999.0,-99999.0
R1FC64D36,99999.0,0.0
R1FD3DC83,99999.0,-99999.0
R1FE47CD0,14285.571429,-0.0
R2020016A,99999.0,0.0
R204BFBF3,0.0,0.0
R20604AB5,0.0,0.0
R206C7EB0,0.0,0.0
R206EFEB5,0.0,0.0
R208B0580,0.0,0.0
R20F27F8B,99999.0,-99999.0
R21049B8A,99999.0,0.0
R21269158,99999.0,-99999.0
R21709727,99999.0,-99999.0
R21A4314,0.0,0.0
R21BAA724,99999.0,0.0
R21C31196,99999.0,-99999.0
R21CCDCAB,99986.3827,0.0
R21CFA56B,99999.0,0.0
R21FD9D78,99999.0,-99999.0
R226BBBB1,99999.0,0.0
R228EC78B,99999.0,-99999.0
R22D90DF1,99999.0,-99999.0
R22E78B80,0.0,0.0
R22E7AF3A,99999.0,0.0
R23167B3C,0.0,0.0
R233C0CE3,99999.0,0.0
R2352E49B,0.0,0.0
R2353ABAD,0.0,-99999.0
R23604F28,99999.0,0.0
R2370D59A,99991.67201,-99999.0
R23870663,16666.5,0.0
R23AAF8D7,0.0,0.0
R23B5E05B,99999.0,-0.0
R241AB01B,99999.0,-99999.0
R241B2AF6,0.0,0.0
R242FA2D1,99999.0,-99999.0
R2430CDA4,99999.0,0.0
R243773E7,99989.584973,-99999.0
R2443A0EE,99999.0,0.0
R2460D271,99999.0,0.0
R246505BE,99986.3827,0.0
R247CAC7E,99999.0,0.0
R2494D2C3,99999.0,0.0
R24C751B8,0.0,0.0
R24C7F570,83332.5,0.0
R24EB301D,0.0,0.0
R24F49AA9,0.0,0.0
R25016A89,99999.0,-99999.0
R250EAED2,99999.0,0.0
R250FD288,99995.94,0.0
R25288B6D,0.0,0.0
R252919F4,83332.5,0.0
R253D246C,99999.0,0.0
R253E14CA,99999.0,0.0
R2540F35C,99999.0,-99999.0
R25475DA9,99999.0,-99999.0
R256D9066,0.0,-99999.0
R25827093,0.0,0.0
R261D6E5C,16666.5,0.0
R26462444,0.0,-99999.0
R266F0806,99999.0,0.0
R2670F887,99999.0,0.0
R26733A7A,0.0,0.0
R268B7BBA,99999.0,0.0
R269EFD09,99999.0,0.0
R269FD9C3,99999.0,-99999.0
R26B1EB77,19444.25,0.0
R26E4280E,99999.0,-99999.0
R26F0C5C0,99991.67201,-99999.0
R2701C9B5,99999.0,0.0
R2717FADF,0.0,0.0
R271A3B29,99999.0,0.0
R275596E9,99999.0,0.0
R275A54F,99999.0,0.0
R276A6E5E,-0.00011,-99999.0
R277097A0,0.0,-99999.0
R2788B74A,0.0,0.0
R2789138B,99999.0,-99999.0
R279A24FB,83332.5,0.0
R27A5E88F,0.0,-99999.0
R27B533E9,99999.0,-99999.0
R27D4612A,0.0,0.0
R27D652D9,16666.5,-0.0
R27DD6C3E,99999.0,0.0
R27F05BF6,99999.0,-99999.0
R27F12DBA,99999.0,0.0
R28292572,99999.0,-99999.0
R28528F55,0.0,0.0
R28582DA9,99999.0,-99999.0
R28766662,99999.0,-99999.0
R288ABFC2,99999.0,0.0
R288C7600,99999.0,-99999.0
R28953304,99999.0,-99999.0
R2895F94E,99999.0,-99999.0
R28A33AE9,99999.0,-99999.0
R28A63043,99999.0,-99999.0
R28BF4A7E,99999.0,-99999.0
R28E3DBFA,0.0,0.0
R291B7F16,99999.0,-99999.0
R29337EA3,99999.0,0.0
R2953C330,99999.0,0.0
R29881A3B,99999.0,-99999.0
R29B8ED1E,99999.0,0.0
R29C93BFC,99999.0,0.0
R29CE564,99999.0,-99999.0
R29E43110,99998.99978,-0.0
