P08373--Q9HZM7--45.3--2.7e-80--murB PA2977--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Cell wall formation. {ECO:0000255|HAMAP-Rule:MF_00037}.--CATALYTIC ACTIVITY: Reaction=NADP(+) + UDP-N-acetyl-alpha-D-muramate = H(+) + NADPH + UDP-N-acetyl-3-O-(1-carboxyvinyl)-alpha-D-glucosamine; Xref=Rhea:RHEA:12248, ChEBI:CHEBI:15378, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:68483, ChEBI:CHEBI:70757; EC=1.3.1.98; Evidence={ECO:0000255|HAMAP-Rule:MF_00037};--   --4JAY;4JB1;
P10902--Q51363--64.9--0.0--nadB PA0761--Cofactor biosynthesis; NAD(+) biosynthesis; iminoaspartate from L-aspartate (oxidase route): step 1/1. --FUNCTION: Catalyzes the oxidation of L-aspartate to iminoaspartate.--CATALYTIC ACTIVITY: Reaction=L-aspartate + O2 = H2O2 + iminosuccinate; Xref=Rhea:RHEA:25876, ChEBI:CHEBI:15379, ChEBI:CHEBI:16240, ChEBI:CHEBI:29991, ChEBI:CHEBI:77875; EC=1.4.3.16;--   --
P0CI79--Q9I6F1--39.6--1.3e-59--thyA PA0342--Pyrimidine metabolism; dTTP biosynthesis. --FUNCTION: Catalyzes the reductive methylation of 2'-deoxyuridine-5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by-product. This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00008}.--CATALYTIC ACTIVITY: Reaction=(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + dUMP = 7,8-dihydrofolate + dTMP; Xref=Rhea:RHEA:12104, ChEBI:CHEBI:15636, ChEBI:CHEBI:57451, ChEBI:CHEBI:63528, ChEBI:CHEBI:246422; EC=2.1.1.45; Evidence={ECO:0000255|HAMAP-Rule:MF_00008};--   --
P0A884--Q9I6F1--69.7--1.1e-142--thyA PA0342--Pyrimidine metabolism; dTTP biosynthesis. --FUNCTION: Catalyzes the reductive methylation of 2'-deoxyuridine-5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by-product. This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00008}.--CATALYTIC ACTIVITY: Reaction=(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + dUMP = 7,8-dihydrofolate + dTMP; Xref=Rhea:RHEA:12104, ChEBI:CHEBI:15636, ChEBI:CHEBI:57451, ChEBI:CHEBI:63528, ChEBI:CHEBI:246422; EC=2.1.1.45; Evidence={ECO:0000255|HAMAP-Rule:MF_00008};--   --
P30012--P30819--57.7--2.4e-97--nadC PA4524--Cofactor biosynthesis; NAD(+) biosynthesis; nicotinate D-ribonucleotide from quinolinate: step 1/1. --FUNCTION: Involved in the catabolism of quinolinic acid (QA). {ECO:0000250}.--CATALYTIC ACTIVITY: Reaction=CO2 + diphosphate + nicotinate beta-D-ribonucleotide = 5-phospho-alpha-D-ribose 1-diphosphate + 2 H(+) + quinolinate; Xref=Rhea:RHEA:12733, ChEBI:CHEBI:15378, ChEBI:CHEBI:16526, ChEBI:CHEBI:29959, ChEBI:CHEBI:33019, ChEBI:CHEBI:57502, ChEBI:CHEBI:58017; EC=2.4.2.19;--   --
P22939--Q9HWY4--52.2--9.6e-83--ispA PA4043--------   --3ZCD;3ZL6;3ZMB;3ZMC;3ZOU;4UMJ;
P0A716--Q9ZFK4--68.9--6.8e-139--kdsA PA3636--Carbohydrate biosynthesis; 3-deoxy-D-manno-octulosonate biosynthesis; 3-deoxy-D-manno-octulosonate from D-ribulose 5-phosphate: step 2/3. Bacterial outer membrane biogenesis; lipopolysaccharide biosynthesis. ----CATALYTIC ACTIVITY: Reaction=D-arabinose 5-phosphate + H2O + phosphoenolpyruvate = 3-deoxy-alpha-D-manno-2-octulosonate-8-phosphate + phosphate; Xref=Rhea:RHEA:14053, ChEBI:CHEBI:15377, ChEBI:CHEBI:43474, ChEBI:CHEBI:57693, ChEBI:CHEBI:58702, ChEBI:CHEBI:85985; EC=2.5.1.55;--   --4LU0;
Q83LD8--P42805--54.6--4.4e-99--ispE PA4669--Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via DXP pathway; isopentenyl diphosphate from 1-deoxy-D-xylulose 5-phosphate: step 3/6. --FUNCTION: Catalyzes the phosphorylation of the position 2 hydroxy group of 4-diphosphocytidyl-2C-methyl-D-erythritol. {ECO:0000255|HAMAP-Rule:MF_00061}.--CATALYTIC ACTIVITY: Reaction=4-CDP-2-C-methyl-D-erythritol + ATP = 4-CDP-2-C-methyl-D-erythritol 2-phosphate + ADP + H(+); Xref=Rhea:RHEA:18437, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:57823, ChEBI:CHEBI:57919, ChEBI:CHEBI:456216; EC=2.7.1.148; Evidence={ECO:0000255|HAMAP-Rule:MF_00061};--   --
Q9WZW1--Q9HVM3--38.8--7.2e-43--ribF PA4561--Cofactor biosynthesis; FAD biosynthesis; FAD from FMN: step 1/1. Cofactor biosynthesis; FMN biosynthesis; FMN from riboflavin (ATP route): step 1/1. --FUNCTION: Catalyzes the phosphorylation of riboflavin to FMN followed by the adenylation of FMN to FAD. {ECO:0000256|ARBA:ARBA00002121}.--CATALYTIC ACTIVITY: Reaction=ATP + FMN + H(+) = diphosphate + FAD; Xref=Rhea:RHEA:17237, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57692, ChEBI:CHEBI:58210; EC=2.7.7.2; Evidence={ECO:0000256|ARBA:ARBA00001332, ECO:0000256|PIRNR:PIRNR004491}; CATALYTIC ACTIVITY: Reaction=ATP + riboflavin = ADP + FMN + H(+); Xref=Rhea:RHEA:14357, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:57986, ChEBI:CHEBI:58210, ChEBI:CHEBI:456216; EC=2.7.1.26; Evidence={ECO:0000256|ARBA:ARBA00000372, ECO:0000256|PIRNR:PIRNR004491};--   --
P43889--Q9HT22--53.0--3e-166--glmU PA5552--Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; N-acetyl-alpha-D-glucosamine 1-phosphate from alpha-D-glucosamine 6-phosphate (route II): step 2/2. Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; UDP-N-acetyl-alpha-D-glucosamine from N-acetyl-alpha-D-glucosamine 1-phosphate: step 1/1. Bacterial outer membrane biogenesis; LPS lipid A biosynthesis. --FUNCTION: Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP-GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5-monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain. {ECO:0000255|HAMAP-Rule:MF_01631}.--CATALYTIC ACTIVITY: Reaction=acetyl-CoA + alpha-D-glucosamine 1-phosphate = CoA + H(+) + N-acetyl-alpha-D-glucosamine 1-phosphate; Xref=Rhea:RHEA:13725, ChEBI:CHEBI:15378, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:57776, ChEBI:CHEBI:58516; EC=2.3.1.157; Evidence={ECO:0000255|HAMAP-Rule:MF_01631}; CATALYTIC ACTIVITY: Reaction=H(+) + N-acetyl-alpha-D-glucosamine 1-phosphate + UTP = diphosphate + UDP-N-acetyl-alpha-D-glucosamine; Xref=Rhea:RHEA:13509, ChEBI:CHEBI:15378, ChEBI:CHEBI:33019, ChEBI:CHEBI:46398, ChEBI:CHEBI:57705, ChEBI:CHEBI:57776; EC=2.7.7.23; Evidence={ECO:0000255|HAMAP-Rule:MF_01631};--   --
Q9HU22--Q9HU22--100.0--0.0--rmlA PA5163----FUNCTION: Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis. {ECO:0000256|RuleBase:RU003706}.--CATALYTIC ACTIVITY: Reaction=alpha-D-glucose 1-phosphate + dTTP + H(+) = diphosphate + dTDP-alpha-D-glucose; Xref=Rhea:RHEA:15225, ChEBI:CHEBI:15378, ChEBI:CHEBI:33019, ChEBI:CHEBI:37568, ChEBI:CHEBI:57477, ChEBI:CHEBI:58601; EC=2.7.7.24; Evidence={ECO:0000256|ARBA:ARBA00001095, ECO:0000256|RuleBase:RU003706};--   --1FXO;1FZW;1G0R;1G1L;1G23;1G2V;1G3L;3ZLK;3ZLL;4ARW;4ASJ;4ASY;4B2W;4B2X;4B3U;4B42;4B4B;4B4G;4B4M;4B5B;5FTS;5FTV;5FU0;5FU8;5FUH;5FYE;6T38;
