,maximum,minimum
BIOMASSe,0.131262,0.131262
BXT,-0.0,0.0
CL,0.0,0.0
DAT,0.0,0.0
DIM,0.0,0.0
DNA,0.002888,0.002888
EX_AC_e,0.0,0.0
EX_ADN_e,-0.158327,-1.0
EX_AD_e,0.0,0.0
EX_AKG_e,0.0,0.0
EX_ASP_e,0.0,0.0
EX_CIT_e,0.0,0.0
EX_DALA_e,0.0,0.0
EX_DA_e,-0.158327,-1.0
EX_DC_e,0.0,0.0
EX_DIN_e,0.0,0.0
EX_DT_e,0.0,0.0
EX_DU_e,0.0,0.0
EX_ETH_e,0.0,0.0
EX_FUM_e,0.0,0.0
EX_GABA_e,0.0,0.0
EX_GLAC_e,0.0,0.0
EX_GLC_e,0.0,0.0
EX_GLUC_e,0.0,0.0
EX_GLU_e,0.0,0.0
EX_GLY_e,-1.0,-1.0
EX_GSN_e,-0.011246,-0.011246
EX_HIS_e,-0.005843,-0.005843
EX_ILE_e,1.0,1.0
EX_INS_e,0.0,0.0
EX_LAC_e,0.0,0.0
EX_LEU_e,1.0,1.0
EX_LLAC_e,0.0,0.0
EX_LYS_e,-0.005394,-0.005394
EX_MAL_e,0.0,0.0
EX_NO2_e,0.0,0.0
EX_NO3_e,0.0,0.0
EX_PHE_e,-0.007303,-0.007303
EX_PI_e,-1.0,-1.0
EX_PRO_e,1.0,1.0
EX_PYR_e,0.0,0.0
EX_SER_e,0.458162,0.458162
EX_SUCC_e,1.0,1.0
EX_THR_e,-0.020546,-0.020546
EX_TRP_e,-0.003708,-0.003708
EX_TYR_e,-0.005253,-0.005253
EX_URA_e,-0.011047,-0.011047
EX_URI_e,0.0,0.0
EX_VAL_e,1.0,1.0
GLUCAN,0.0,0.0
LAM,0.024415,0.024415
LM,0.001563,0.001563
MAPC,0.027303,0.027303
MPD,0.0,0.0
PAT,0.0,0.0
PE,0.000788,0.000788
PGL,0.0,0.0
PIMS,0.00525,0.00525
PROT,0.02809,0.02809
P__L__GLX,0.004594,0.004594
R1,3.0,0.0
R10,0.0,0.0
R100,-0.0,0.0
R101,7.711659,1.211441
R102,-0.0,0.0
R103,-0.0,0.0
R104,0.0,0.0
R105,-0.0,0.0
R106,0.003842,0.003842
R107,0.003842,0.003842
R108,0.012765,0.012765
R109,-0.0,0.0
R11,0.984708,-0.015292
R110,0.0,0.0
R111,-0.0,0.0
R112,-0.0,0.0
R113,0.0,0.0
R114,0.0,0.0
R119,4.532393,3.819458
R12,-0.015292,-0.015292
R120,-0.0,0.0
R121,-0.0,0.0
R122,-1.8398,-2.552735
R123,-0.365422,-0.365422
R124,0.000151,0.000151
R125,1.980616,1.980616
R126,1.980649,1.980649
R127,-0.0,0.0
R128,8.536793,7.823859
R129,1.0,1.0
R13,0.015292,0.015292
R130,-0.0,0.0
R131,1.904213,1.904213
R132,1.854969,0.0
R133,3e-06,3e-06
R134,0.000131,0.000131
R135,0.469401,0.0
R136,0.469401,0.0
R137,0.469401,0.0
R138,-0.0,0.0
R139,-0.0,0.0
R14,0.0095,0.0095
R140,-0.0,0.0
R141,-0.0,0.0
R142,-0.0,0.0
R143,-0.0,0.0
R144,1.01573,0.144953
R145,-0.0,-0.0
R146,6.6e-05,6.6e-05
R147,6.6e-05,6.6e-05
R148,1.0,1.0
R149,-1.010927,-1.010927
R15,0.0,0.0
R150,-0.0,0.0
R151,-0.0,0.0
R152,-0.0,0.0
R153,-0.0,0.0
R154,-0.0,0.0
R155,-0.0,0.0
R156,-0.0,0.0
R157,-0.002465,-0.002465
R158,-0.0,0.0
R159,0.002465,0.002465
R16,0.0,0.0
R160,-0.0,0.0
R161,-0.0,0.0
R162,-0.0,0.0
R163,0.0,0.0
R164,0.0,0.0
R165,0.0,0.0
R166,-0.0,0.0
R167,0.0,-0.0
R168,-0.0,0.0
R169,-0.0,0.0
R17,0.0,0.0
R170,-0.0,0.0
R171,-0.0,0.0
R172,-0.0,0.0
R173,-0.0,0.0
R174,-0.0,0.0
R175,-0.0,-0.0
R176,0.002376,0.002376
R177,0.739083,0.026149
R178,2e-06,2e-06
R179,2e-06,2e-06
R18,-0.0,0.0
R180,2e-06,2e-06
R181,100000.0,0.004925
R182,-0.0,0.0
R183,-0.0,0.0
R184,0.49492,0.49492
R185,-0.474328,-0.474328
R186,0.49492,0.49492
R187,0.49492,0.49492
R188,-0.0,0.0
R189,0.000158,0.000158
R19,-0.0,0.0
R190,100000.0,-100000.0
R191,-0.0,0.0
R192,-0.0,0.0
R193,-0.0,0.0
R194,-0.0,0.0
R195,100000.0,-100000.0
R196,-0.0,0.0
