,maximum,minimum
12DAG3Ps_PA,0.075187,0.075187
13DAMPPOX,0.992084,0.0
1HPHEs,0.0,0.0
1PYRRD,2.518972,0.0
24DAB4AT_b,0.506751,0.0
24DAB4AT_f,0.506751,0.0
25DOPs,1.797127,0.0
2AEPPNAT_b,0.645386,0.0
2AEPPNAT_f,0.645386,0.0
2DGLCNDH_10,0.0,0.0
2DGLCNDH_11,0.0,0.0
2DGLCNDH_8,0.0,0.0
2DGLCNDH_9,0.0,0.0
2DGLCNRy2i,0.0,0.0
2DHGLCNti,0.0,0.0
2HDDACPs_14,0.002824,0.0
2HDDACPs_15,0.002824,0.0
2HMYRSACPs_16,0.0,0.0
2HMYRSACPs_17,0.0,0.0
2MBDT,0.0,0.0
2NPDO_b,2.769877,0.0
2NPDO_f,2.769877,0.0
3ABUTabc,0.0,0.0
3AMPADH,0.992084,0.0
3DMUBQ9MT_b,6.305789,0.0
3DMUBQ9MT_f,6.305789,0.0
3H3H,0.0,0.0
3HBUTDH_b,1.48526,0.0
3HBUTDH_f,1.48526,0.0
3MBT,0.0,0.0
3OCHLA,0.0,0.0
3OXACOA,0.227642,0.0
4ABUTNC,2.518972,0.0
4AHD2_b,2.626298,0.0
4AHD2_f,2.626298,0.0
4AHD_b,2.626298,0.0
4AHD_f,2.626298,0.0
4HBZt_b,0.400074,0.0
4HBZt_f,0.400074,0.0
4HPHAC3MO_b,0.788773,0.0
4HPHAC3MO_f,0.788773,0.0
4HTHRS,0.0,0.0
5CM2HMSDH_b,0.733286,0.0
5CM2HMSDH_f,0.733286,0.0
5MPCAs,0.0,0.0
5MTAti,0.30944,0.0
A5PISO_b,17.528411,0.0
A5PISO_f,17.53406,0.005649
ABTA,2.518972,0.0
ABTNabc,0.0,0.0
ABUTD_46,0.677256,0.0
ABUTD_47,2.518972,0.0
ACAC,2.366098,0.0
ACACT1,3.534799,0.0
ACACT10rr_b,2.848251,0.0
ACACT10rr_f,2.848251,0.0
ACACT1r_b,3.534799,0.0
ACACT1r_f,3.534799,0.0
ACCOACr_b,24.243934,0.0
ACCOACr_f,24.889932,0.645998
ACGK,7.406575,0.108618
ACGS,7.227339,0.0
ACHBS,0.092813,0.092813
ACKr_b_60,11.619847,0.0
ACKr_b_62,9.697016,0.0
ACKr_f_59,11.619847,0.0
ACKr_f_61,9.697016,0.0
ACLS,0.279129,0.279129
ACMAT1_64,0.0,0.0
ACMAT1_65,0.0,0.0
ACMAT1_66,0.0,0.0
ACOAD10_b,0.493448,0.0
ACOAD10_f,0.493448,0.0
ACOAD1_b,1000.0,0.0
