P22939--Q9HWY4--52.2--8.1E-83--ispA PA4043--------   --3ZCD;3ZL6;3ZMB;3ZMC;3ZOU;4UMJ;
P0AC13--Q9HV49--61.1--1.8E-104--folP PA4750--Cofactor biosynthesis; tetrahydrofolate biosynthesis; 7,8-dihydrofolate from 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate and 4-aminobenzoate: step 1/2. --FUNCTION: Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8-dihydropteroate (H2Pte), the immediate precursor of folate derivatives. {ECO:0000256|RuleBase:RU361205}.----   --
P06983--Q60169--67.8--1.3E-138--hemC PA5260--Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; coproporphyrinogen-III from 5-aminolevulinate: step 2/4. --FUNCTION: Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps. {ECO:0000250}.--CATALYTIC ACTIVITY: ; Reaction=H2O + 4 porphobilinogen = hydroxymethylbilane + 4 NH4(+); Xref=Rhea:RHEA:13185, ChEBI:CHEBI:15377, ChEBI:CHEBI:28938, ChEBI:CHEBI:57845, ChEBI:CHEBI:58126; EC=2.5.1.61;--   --
P0A820--Q9I5Z0--72.9--0.0--metK PA0546--Amino-acid biosynthesis; S-adenosyl-L-methionine biosynthesis; S-adenosyl-L-methionine from L-methionine: step 1/1. --FUNCTION: Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme. {ECO:0000255|HAMAP-Rule:MF_00086}.--CATALYTIC ACTIVITY: ; Reaction=ATP + H2O + L-methionine = diphosphate + phosphate + S-adenosyl-L-methionine; Xref=Rhea:RHEA:21080, ChEBI:CHEBI:15377, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:43474, ChEBI:CHEBI:57844, ChEBI:CHEBI:59789; EC=2.5.1.6; Evidence={ECO:0000255|HAMAP-Rule:MF_00086};--   --
P43889--Q9HT22--53.0--2.5E-166--glmU PA5552--Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; N-acetyl-alpha-D-glucosamine 1-phosphate from alpha-D-glucosamine 6-phosphate (route II): step 2/2. Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; UDP-N-acetyl-alpha-D-glucosamine from N-acetyl-alpha-D-glucosamine 1-phosphate: step 1/1. Bacterial outer membrane biogenesis; LPS lipid A biosynthesis. --FUNCTION: Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP-GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5-monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain. {ECO:0000255|HAMAP-Rule:MF_01631}.--CATALYTIC ACTIVITY: ; Reaction=acetyl-CoA + alpha-D-glucosamine 1-phosphate = CoA + H(+) + N-acetyl-alpha-D-glucosamine 1-phosphate; Xref=Rhea:RHEA:13725, ChEBI:CHEBI:15378, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:57776, ChEBI:CHEBI:58516; EC=2.3.1.157; Evidence={ECO:0000255|HAMAP-Rule:MF_01631};; CATALYTIC ACTIVITY: ; Reaction=H(+) + N-acetyl-alpha-D-glucosamine 1-phosphate + UTP = diphosphate + UDP-N-acetyl-alpha-D-glucosamine; Xref=Rhea:RHEA:13509, ChEBI:CHEBI:15378, ChEBI:CHEBI:33019, ChEBI:CHEBI:46398, ChEBI:CHEBI:57705, ChEBI:CHEBI:57776; EC=2.7.7.23; Evidence={ECO:0000255|HAMAP-Rule:MF_01631};--   --
P00634--P35483--73.9--0.0--phoA PA3296----FUNCTION: Has only phosphomonoesterase activity. {ECO:0000269|PubMed:8454193}.--CATALYTIC ACTIVITY: ; Reaction=a phosphate monoester + H2O = an alcohol + phosphate; Xref=Rhea:RHEA:15017, ChEBI:CHEBI:15377, ChEBI:CHEBI:30879, ChEBI:CHEBI:43474, ChEBI:CHEBI:67140; EC=3.1.3.1; Evidence={ECO:0000255|PROSITE-ProRule:PRU10042};--   --
P08244--Q59654--59.5--1.6E-86--pyrF PA2876--Pyrimidine metabolism; UMP biosynthesis via de novo pathway; UMP from orotate: step 2/2. --FUNCTION: Catalyzes the decarboxylation of orotidine 5'-monophosphate (OMP) to uridine 5'-monophosphate (UMP).--CATALYTIC ACTIVITY: ; Reaction=H(+) + orotidine 5'-phosphate = CO2 + UMP; Xref=Rhea:RHEA:11596, ChEBI:CHEBI:15378, ChEBI:CHEBI:16526, ChEBI:CHEBI:57538, ChEBI:CHEBI:57865; EC=4.1.1.23; Evidence={ECO:0000255|HAMAP-Rule:MF_01200};--   --
P28305--Q9HZN6--35.8--2.0E-36--pabC PA2964--------   --2Y4R;
Q59643--Q59643--100.0--0.0--hemB PA5243--Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; coproporphyrinogen-III from 5-aminolevulinate: step 1/4. --FUNCTION: Catalyzes an early step in the biosynthesis of tetrapyrroles. Binds two molecules of 5-aminolevulinate per subunit, each at a distinct site, and catalyzes their condensation to form porphobilinogen (By similarity). {ECO:0000250}.--CATALYTIC ACTIVITY: ; Reaction=2 5-aminolevulinate = H(+) + 2 H2O + porphobilinogen; Xref=Rhea:RHEA:24064, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:58126, ChEBI:CHEBI:356416; EC=4.2.1.24; Evidence={ECO:0000269|PubMed:16819823};--   --1B4K;1GZG;1W54;1W56;1W5M;1W5N;1W5O;1W5P;1W5Q;2C13;2C14;2C15;2C16;2C18;2C19;2WOQ;
P22188--Q59650--49.4--1.4E-132--murE PA4417--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan. {ECO:0000255|HAMAP-Rule:MF_00208}.--CATALYTIC ACTIVITY: ; Reaction=ATP + meso-2,6-diaminopimelate + UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate = ADP + H(+) + phosphate + UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-diaminopimelate; Xref=Rhea:RHEA:23676, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:57791, ChEBI:CHEBI:83900, ChEBI:CHEBI:83905, ChEBI:CHEBI:456216; EC=6.3.2.13; Evidence={ECO:0000255|HAMAP-Rule:MF_00208};--   --
P45066--Q9HW02--56.8--0.0--murC PA4411--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Cell wall formation. {ECO:0000255|HAMAP-Rule:MF_00046}.--CATALYTIC ACTIVITY: ; Reaction=ATP + L-alanine + UDP-N-acetyl-alpha-D-muramate = ADP + H(+) + phosphate + UDP-N-acetyl-alpha-D-muramoyl-L-alanine; Xref=Rhea:RHEA:23372, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:57972, ChEBI:CHEBI:70757, ChEBI:CHEBI:83898, ChEBI:CHEBI:456216; EC=6.3.2.8; Evidence={ECO:0000255|HAMAP-Rule:MF_00046};--   --5VVW;
