P13702--Q2FV77--40.1--7.6E-93--SAOUHSC_02859--Metabolic intermediate metabolism; (R)-mevalonate degradation; (S)-3-hydroxy-3-methylglutaryl-CoA from (R)-mevalonate: step 1/1. ----CATALYTIC ACTIVITY: Reaction=(R)-mevalonate + CoA + 2 NAD(+) = (3S)-hydroxy-3-methylglutaryl-CoA + 2 H(+) + 2 NADH; Xref=Rhea:RHEA:14833, ChEBI:CHEBI:15378, ChEBI:CHEBI:36464, ChEBI:CHEBI:43074, ChEBI:CHEBI:57287, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.1.1.88; Evidence={ECO:0000256|RuleBase:RU361219};--   --
P61432--Q2G069--100.0--0.0--murB SAOUHSC_00752--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Cell wall formation. {ECO:0000255|HAMAP-Rule:MF_00037}.--CATALYTIC ACTIVITY: Reaction=NADP(+) + UDP-N-acetyl-alpha-D-muramate = H(+) + NADPH + UDP-N-acetyl-3-O-(1-carboxyvinyl)-alpha-D-glucosamine; Xref=Rhea:RHEA:12248, ChEBI:CHEBI:15378, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:68483, ChEBI:CHEBI:70757; EC=1.3.1.98; Evidence={ECO:0000255|HAMAP-Rule:MF_00037};--   --
P32397--Q2FXA5--46.8--4.5E-141--SAOUHSC_01960--Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; protoporphyrin-IX from protoporphyrinogen-IX: step 1/1. --FUNCTION: Catalyzes the 6-electron oxidation of protoporphyrinogen-IX to form protoporphyrin-IX. {ECO:0000256|RuleBase:RU364052}.--CATALYTIC ACTIVITY: Reaction=3 O2 + protoporphyrinogen IX = 3 H2O2 + protoporphyrin IX; Xref=Rhea:RHEA:25576, ChEBI:CHEBI:15379, ChEBI:CHEBI:16240, ChEBI:CHEBI:57306, ChEBI:CHEBI:57307; EC=1.3.3.4; Evidence={ECO:0000256|RuleBase:RU364052};--   --
A0A0M3KKX1--Q2FYK6--100.0--5.5E-113--SAOUHSC_01434--Cofactor biosynthesis; tetrahydrofolate biosynthesis; 5,6,7,8-tetrahydrofolate from 7,8-dihydrofolate: step 1/1. --FUNCTION: Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis. {ECO:0000256|PIRNR:PIRNR000194}.--CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + H(+) + NADPH; Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};--   --
Q81R22--Q2FYK6--43.8--1.1E-44--SAOUHSC_01434--Cofactor biosynthesis; tetrahydrofolate biosynthesis; 5,6,7,8-tetrahydrofolate from 7,8-dihydrofolate: step 1/1. --FUNCTION: Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis. {ECO:0000256|PIRNR:PIRNR000194}.--CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + H(+) + NADPH; Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};--   --
P0A017--Q2FYK6--100.0--1.8E-114--SAOUHSC_01434--Cofactor biosynthesis; tetrahydrofolate biosynthesis; 5,6,7,8-tetrahydrofolate from 7,8-dihydrofolate: step 1/1. --FUNCTION: Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis. {ECO:0000256|PIRNR:PIRNR000194}.--CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + H(+) + NADPH; Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};--   --
P38038--Q2FUZ8--36.7--2.4E-132--SAOUHSC_02947--Sulfur metabolism; hydrogen sulfide biosynthesis; hydrogen sulfide from sulfite (NADPH route): step 1/1. --FUNCTION: Component of the sulfite reductase complex that catalyzes the 6-electron reduction of sulfite to sulfide. This is one of several activities required for the biosynthesis of L-cysteine from sulfate. The flavoprotein component catalyzes the electron flow from NADPH -> FAD -> FMN to the hemoprotein component. {ECO:0000256|SAAS:SAAS00040600}.--CATALYTIC ACTIVITY: Reaction=3 H2O + hydrogen sulfide + 3 NADP(+) = 4 H(+) + 3 NADPH + sulfite; Xref=Rhea:RHEA:13801, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:17359, ChEBI:CHEBI:29919, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.8.1.2; Evidence={ECO:0000256|SAAS:SAAS01115428};--   --
Q81Y15--Q2FYT8--60.5--0.0--SAOUHSC_01337--------   --
P27696--Q2FW49--46.5--4.0E-169--SAOUHSC_02468--------   --
P00497--Q2FZI9--56.2--0.0--purF SAOUHSC_01014--Purine metabolism; IMP biosynthesis via de novo pathway; N(1)-(5-phospho-D-ribosyl)glycinamide from 5-phospho-alpha-D-ribose 1-diphosphate: step 1/2. --FUNCTION: Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine. {ECO:0000256|HAMAP-Rule:MF_01931}.--CATALYTIC ACTIVITY: Reaction=5-phospho-beta-D-ribosylamine + diphosphate + L-glutamate = 5-phospho-alpha-D-ribose 1-diphosphate + H2O + L-glutamine; Xref=Rhea:RHEA:14905, ChEBI:CHEBI:15377, ChEBI:CHEBI:29985, ChEBI:CHEBI:33019, ChEBI:CHEBI:58017, ChEBI:CHEBI:58359, ChEBI:CHEBI:58681; EC=2.4.2.14; Evidence={ECO:0000256|HAMAP-Rule:MF_01931, ECO:0000256|PIRNR:PIRNR000485};--   --
P77836--Q2FWC1--71.8--0.0--pdp pyn SAOUHSC_02377----FUNCTION: Catalyzes phosphorolysis of the pyrimidine nucleosides uridine, thymidine and 2'-deoxyuridine with the formation of the corresponding pyrimidine base and ribose-1-phosphate. {ECO:0000250|UniProtKB:P77836}.--CATALYTIC ACTIVITY: Reaction=phosphate + uridine = alpha-D-ribose 1-phosphate + uracil; Xref=Rhea:RHEA:24388, ChEBI:CHEBI:16704, ChEBI:CHEBI:17568, ChEBI:CHEBI:43474, ChEBI:CHEBI:57720; EC=2.4.2.2; Evidence={ECO:0000250|UniProtKB:P77836}; CATALYTIC ACTIVITY: Reaction=phosphate + thymidine = 2-deoxy-alpha-D-ribose 1-phosphate + thymine; Xref=Rhea:RHEA:16037, ChEBI:CHEBI:17748, ChEBI:CHEBI:17821, ChEBI:CHEBI:43474, ChEBI:CHEBI:57259; EC=2.4.2.2; Evidence={ECO:0000250|UniProtKB:P77836}; CATALYTIC ACTIVITY: Reaction=2'-deoxyuridine + phosphate = 2-deoxy-alpha-D-ribose 1-phosphate + uracil; Xref=Rhea:RHEA:22824, ChEBI:CHEBI:16450, ChEBI:CHEBI:17568, ChEBI:CHEBI:43474, ChEBI:CHEBI:57259; EC=2.4.2.2; Evidence={ECO:0000250|UniProtKB:P77836};--   --
P11998--Q2FXG2--67.3--5.3E-68--ribH SAOUHSC_01886--Cofactor biosynthesis; riboflavin biosynthesis; riboflavin from 2-hydroxy-3-oxobutyl phosphate and 5-amino-6-(D-ribitylamino)uracil: step 1/2. --FUNCTION: Catalyzes the formation of 6,7-dimethyl-8-ribityllumazine by condensation of 5-amino-6-(D-ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin. {ECO:0000255|HAMAP-Rule:MF_00178}.--CATALYTIC ACTIVITY: Reaction=(2S)-2-hydroxy-3-oxobutyl phosphate + 5-amino-6-(D-ribitylamino)uracil = 6,7-dimethyl-8-(1-D-ribityl)lumazine + H(+) + 2 H2O + phosphate; Xref=Rhea:RHEA:26152, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15934, ChEBI:CHEBI:43474, ChEBI:CHEBI:58201, ChEBI:CHEBI:58830; EC=2.5.1.78; Evidence={ECO:0000255|HAMAP-Rule:MF_00178};--   --
P84139--Q2FW27--67.0--3.9E-100--adk SAOUHSC_02490--Purine metabolism; AMP biosynthesis via salvage pathway; AMP from ADP: step 1/1. --FUNCTION: Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. {ECO:0000256|HAMAP-Rule:MF_00235}.--CATALYTIC ACTIVITY: Reaction=AMP + ATP = 2 ADP; Xref=Rhea:RHEA:12973, ChEBI:CHEBI:30616, ChEBI:CHEBI:456215, ChEBI:CHEBI:456216; EC=2.7.4.3; Evidence={ECO:0000256|HAMAP-Rule:MF_00235, ECO:0000256|SAAS:SAAS01123758};--   --
