P61432--Q8DUF8--53.2--4.5e-98--murB SMU_972--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Cell wall formation. {ECO:0000255|HAMAP-Rule:MF_00037}.--CATALYTIC ACTIVITY: Reaction=NADP(+) + UDP-N-acetyl-alpha-D-muramate = H(+) + NADPH + UDP-N-acetyl-3-O-(1-carboxyvinyl)-alpha-D-glucosamine; Xref=Rhea:RHEA:12248, ChEBI:CHEBI:15378, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:68483, ChEBI:CHEBI:70757; EC=1.3.1.98; Evidence={ECO:0000255|HAMAP-Rule:MF_00037};--   --
P00381--Q8DUI2--37.1--1.8e-30--dfrA SMU_947--Cofactor biosynthesis; tetrahydrofolate biosynthesis; 5,6,7,8-tetrahydrofolate from 7,8-dihydrofolate: step 1/1. --FUNCTION: Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis. {ECO:0000256|PIRNR:PIRNR000194}.--CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + H(+) + NADPH; Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};--   --
P00390--Q8DUR5--51.4--0.0--0.0--0.0--0.0--0.0--0.0--0.0
P06715--Q8DUR5--63.6--0.0--gshR SMU_838--------   --5V36;
P66010--Q8DVL7--55.5--1.1e-116--trxB SMU_463------CATALYTIC ACTIVITY: Reaction=[thioredoxin]-dithiol + NADP(+) = [thioredoxin]-disulfide + H(+) + NADPH; Xref=Rhea:RHEA:20345, Rhea:RHEA-COMP:10698, Rhea:RHEA-COMP:10700, ChEBI:CHEBI:15378, ChEBI:CHEBI:29950, ChEBI:CHEBI:50058, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.8.1.9; Evidence={ECO:0000256|RuleBase:RU003880};--   --
Q81Y15--Q8DW01--60.5--0.0--tkt SMU_291----FUNCTION: Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate. {ECO:0000256|RuleBase:RU004996}.--CATALYTIC ACTIVITY: Reaction=D-glyceraldehyde 3-phosphate + D-sedoheptulose 7-phosphate = aldehydo-D-ribose 5-phosphate + D-xylulose 5-phosphate; Xref=Rhea:RHEA:10508, ChEBI:CHEBI:57483, ChEBI:CHEBI:57737, ChEBI:CHEBI:58273, ChEBI:CHEBI:59776; EC=2.2.1.1; Evidence={ECO:0000256|ARBA:ARBA00001027, ECO:0000256|RuleBase:RU004996};--   --
P27696--Q8DTA6--48.0--1.2e-169--alsS SMU_1452--------   --
P45563--Q8DTU4--46.4--6.7e-68--punA SMU_1229--Purine metabolism; purine nucleoside salvage. --FUNCTION: The purine nucleoside phosphorylases catalyze the phosphorolytic breakdown of the N-glycosidic bond in the beta-(deoxy)ribonucleoside molecules, with the formation of the corresponding free purine bases and pentose-1-phosphate. {ECO:0000256|PIRNR:PIRNR000477}.--CATALYTIC ACTIVITY: Reaction=a purine 2'-deoxy-D-ribonucleoside + phosphate = 2-deoxy-alpha-D-ribose 1-phosphate + a purine nucleobase; Xref=Rhea:RHEA:36431, ChEBI:CHEBI:26386, ChEBI:CHEBI:43474, ChEBI:CHEBI:57259, ChEBI:CHEBI:142361; EC=2.4.2.1; Evidence={ECO:0000256|ARBA:ARBA00001173}; CATALYTIC ACTIVITY: Reaction=a purine D-ribonucleoside + phosphate = a purine nucleobase + alpha-D-ribose 1-phosphate; Xref=Rhea:RHEA:19805, ChEBI:CHEBI:26386, ChEBI:CHEBI:43474, ChEBI:CHEBI:57720, ChEBI:CHEBI:142355; EC=2.4.2.1; Evidence={ECO:0000256|PIRNR:PIRNR000477};--   --3LA8;3LBA;
Q9X1T2--Q8DTU4--46.1--1.6e-73--punA SMU_1229--Purine metabolism; purine nucleoside salvage. --FUNCTION: The purine nucleoside phosphorylases catalyze the phosphorolytic breakdown of the N-glycosidic bond in the beta-(deoxy)ribonucleoside molecules, with the formation of the corresponding free purine bases and pentose-1-phosphate. {ECO:0000256|PIRNR:PIRNR000477}.--CATALYTIC ACTIVITY: Reaction=a purine 2'-deoxy-D-ribonucleoside + phosphate = 2-deoxy-alpha-D-ribose 1-phosphate + a purine nucleobase; Xref=Rhea:RHEA:36431, ChEBI:CHEBI:26386, ChEBI:CHEBI:43474, ChEBI:CHEBI:57259, ChEBI:CHEBI:142361; EC=2.4.2.1; Evidence={ECO:0000256|ARBA:ARBA00001173}; CATALYTIC ACTIVITY: Reaction=a purine D-ribonucleoside + phosphate = a purine nucleobase + alpha-D-ribose 1-phosphate; Xref=Rhea:RHEA:19805, ChEBI:CHEBI:26386, ChEBI:CHEBI:43474, ChEBI:CHEBI:57720, ChEBI:CHEBI:142355; EC=2.4.2.1; Evidence={ECO:0000256|PIRNR:PIRNR000477};--   --3LA8;3LBA;
P00512--Q8DTX6--64.1--1.7e-130--pfkA pfk SMU_1191--Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 3/4. --FUNCTION: Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis. {ECO:0000255|HAMAP-Rule:MF_00339}.--CATALYTIC ACTIVITY: Reaction=ATP + beta-D-fructose 6-phosphate = ADP + beta-D-fructose 1,6-bisphosphate + H(+); Xref=Rhea:RHEA:16109, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:32966, ChEBI:CHEBI:57634, ChEBI:CHEBI:456216; EC=2.7.1.11; Evidence={ECO:0000255|HAMAP-Rule:MF_00339};--   --
P19821--Q8DVZ5--39.6--2.6e-163--polI polA SMU_297----FUNCTION: In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity. {ECO:0000256|RuleBase:RU004460}.--CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:11130, Rhea:RHEA-COMP:11131, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:83828; EC=2.7.7.7; Evidence={ECO:0000256|ARBA:ARBA00001680, ECO:0000256|RuleBase:RU004460};--   --
