SA0016;6.3.4.4
SA0134;5.4.2.7
SA0244;2.7.8.45
SA0344;2.1.1.14
SA0345;2.1.1.10
SA0345;1.5.1.20
SA0346;4.4.1.13
SA0347;2.5.1.48
SA0419;4.4.1.1
SA0419;4.4.1.2
SA0458;2.7.6.1
SA0472;2.5.1.15
SA0473;4.1.2.25
SA0473;5.1.99.8
SA0473;1.13.11.81
SA0474;2.7.6.3
SA0486;6.1.1.24
SA0487;2.3.1.30
SA0512;2.6.1.42
SA0548;4.1.1.33
SA0549;2.7.4.2
SA0592;2.4.1.187
SA0593;7.5.2.4
SA0597;2.7.7.39
SA0669;2.6.1.85
SA0670;4.1.3.38
SA0683;1.7.1.13
SA0693;1.3.1.98
SA0756;4.2.1.10
SA0793;6.1.1.13
SA0795;6.1.1.13
SA0842;2.3.1.180
SA0843;2.3.1.179
SA0865;2.7.1.23
SA0916;5.4.99.18
SA0917;6.3.4.18
SA0918;6.3.2.6
SA0919;6.3.5.3
SA0920;6.3.5.3
SA0920;3.5.1.2
SA0921;6.3.5.3
SA0922;2.4.2.14
SA0923;6.3.3.1
SA0924;2.1.2.2
SA0925;2.1.2.3
SA0925;3.5.4.10
SA0926;6.3.4.13
SA0965;2.5.1.141
SA1052;2.7.4.8
SA1065;5.1.3.1
SA1115;2.7.1.26
SA1115;2.7.7.2
SA1126;2.7.8.5
SA1177;2.2.1.1
SA1197;1.3.1.12
SA1199;4.1.3.27
SA1201;2.4.2.18
SA1202;4.1.1.48
SA1203;5.3.1.24
SA1204;4.2.1.20
SA1205;4.2.1.20
SA1227;4.3.3.7
SA1228;1.17.1.8
SA1229;2.3.1.89
SA1250;3.6.1.27
SA1259;1.5.1.3
SA1297;2.5.1.19
SA1298;4.2.3.4
SA1299;4.2.3.5
SA1346;2.3.1.168
SA1347;1.2.4.4
SA1348;1.2.4.4
SA1352;2.5.1.1
SA1352;2.5.1.10
SA1352;2.5.1.29
SA1368;2.7.1.71
SA1422;2.7.7.18
SA1424;1.1.1.25
SA1427;3.2.2.9
SA1461;2.4.2.7
SA1487;6.3.2.12
SA1487;6.3.2.17
SA1492;4.2.1.24
SA1493;4.2.1.75
SA1494;2.5.1.61
SA1496;1.2.1.70
SA1558;2.5.1.54
SA1558;5.4.99.5
SA1586;2.5.1.78
SA1587;4.1.99.12
SA1587;3.5.4.25
SA1588;2.5.1.9
SA1589;3.5.4.26
SA1589;1.1.1.193
SA1608;2.5.1.6
SA1650;1.3.3.4
SA1650;1.3.3.15
SA1651;4.99.1.1
SA1651;4.99.1.9
SA1652;4.1.1.37
SA1724;4.3.2.2
SA1728;6.3.1.5
SA1729;6.3.4.21
SA1731;4.2.1.51
SA1858;4.2.1.9
SA1860;2.2.1.6
SA1861;1.1.1.86
SA1863;1.1.1.85
SA1864;4.2.1.33
SA1864;4.2.1.35
SA1865;4.2.1.33
SA1865;4.2.1.35
SA1938;2.4.2.2
SA1965;5.4.2.10
SA2027;2.7.4.3
SA2127;5.3.1.6
SA2136;5.3.3.2
SA2186;2.1.1.107
SA2288;2.7.7.9
SA2333;1.1.1.88
SA2334;2.3.3.10
SA2406;1.2.1.8
SA2412;1.3.1.76
SA2412;4.99.1.4
SA2413;1.8.1.2
SA2464;3.6.1.31
SA2464;3.5.4.19
SA2465;4.3.2.10
SA2466;5.3.1.16
SA2467;4.3.2.10
SA2468;4.2.1.19
SA2470;1.1.1.23
SA2471;2.4.2.17
