Q56268;BE0001699;DB04279;3-Isopropylmalic Acid;experimental;unknown;
P04036;BE0001986;DB03363;3-Acetylpyridine Adenine Dinucleotide;experimental;unknown;
P04036;BE0001986;DB04267;Dipicolinic Acid;experimental;unknown;
P08373;BE0002971;DB03147;Flavin adenine dinucleotide;approved;unknown;
P08373;BE0002971;DB07296;(5Z)-3-(4-CHLOROPHENYL)-4-HYDROXY-5-(1-NAPHTHYLMETHYLENE)FURAN-2(5H)-ONE;experimental;unknown;
Q08210;BE0000612;DB01117;Atovaquone;approved;yes;inhibitor
P0A7E1;BE0001525;DB01942;Formic acid;experimental, investigational;unknown;
P0A7E1;BE0001525;DB02262;Orotic Acid;experimental, investigational;unknown;
P0A7E1;BE0001525;DB03247;Flavin mononucleotide;approved, investigational;unknown;
P10902;BE0002969;DB03147;Flavin adenine dinucleotide;approved;unknown;
P0ABQ4;BE0002010;DB02015;Dihydrofolic Acid;experimental;unknown;
P0ABQ4;BE0002010;DB02363;2'-Monophosphoadenosine-5'-Diphosphate;experimental;unknown;
P0ABQ4;BE0002010;DB11596;Levoleucovorin;approved, investigational;unknown;
P0ABQ4;BE0002010;DB03461;2'-Monophosphoadenosine 5'-Diphosphoribose;experimental;unknown;
P0ABQ4;BE0002010;DB12769;Lometrexol;investigational;unknown;
P0ABQ4;BE0002010;DB03904;Urea;approved, investigational;unknown;
P0ABQ4;BE0002010;DB07262;1-{[N-(1-IMINO-GUANIDINO-METHYL)]SULFANYLMETHYL}-3-TRIFLUOROMETHYL-BENZENE;experimental;unknown;
P38038;BE0002963;DB03147;Flavin adenine dinucleotide;approved;unknown;
P38038;BE0002963;DB03461;2'-Monophosphoadenosine 5'-Diphosphoribose;experimental;unknown;
P13009;BE0001615;DB03614;Methylcobalamin;approved, experimental, investigational;unknown;
Q9JZW6;BE0001822;DB04074;alpha-Ketoisovalerate;experimental;unknown;
P31057;BE0001744;DB03795;2-Dehydropantoate;experimental;unknown;
O25927;BE0002505;DB01694;D-tartaric acid;experimental;unknown;
O25927;BE0002505;DB08558;2-HYDROXYMETHYL-6-OCTYLSULFANYL-TETRAHYDRO-PYRAN-3,4,5-TRIOL;experimental;unknown;
P17443;BE0001454;DB02196;Uridine-Diphosphate-N-Acetylgalactosamine;experimental;unknown;
P08870;BE0001533;DB01632;5-O-phosphono-alpha-D-ribofuranosyl diphosphate;approved, experimental, investigational;unknown;
P08870;BE0001533;DB02262;Orotic Acid;experimental, investigational;unknown;
P0AG16;BE0002042;DB01972;Guanosine-5'-Monophosphate;experimental;unknown;
P0AG16;BE0002042;DB03942;Carboxylic PRPP;experimental;unknown;
P0AG16;BE0002042;DB04296;5-Oxo-L-Norleucine;experimental;unknown;
P30012;BE0001347;DB01796;Quinolinic Acid;experimental;unknown;
Q9S400;BE0001759;DB04328;Shikimate-3-Phosphate;experimental;unknown;
Q9S400;BE0001759;DB04539;Glyphosate;experimental;unknown;inhibitor
P0A820;BE0001499;DB03075;(Diphosphono)Aminophosphonic Acid;experimental;unknown;
P0A820;BE0001499;DB04395;Phosphoaminophosphonic Acid-Adenylate Ester;experimental;unknown;
P0A820;BE0001499;DB04554;8-Bromoadenosine-5'-Diphosphate;experimental;unknown;
P33038;BE0001291;DB01879;(S)-2-{Methyl-[2-(Naphthalene-2-Sulfonylamino)-5-(Naphthalene-2-Sulfonyloxy)-Benzoyl]-Amino}-Succinicacid;experimental;unknown;
P33038;BE0001291;DB02435;Aminomethylcyclohexane;experimental;unknown;
P33038;BE0001291;DB02995;Cyclohexylammonium Ion;experimental;unknown;
P33038;BE0001291;DB04174;3'-1-Carboxy-1-Phosphonooxy-Ethoxy-Uridine-Diphosphate-N-Acetylglucosamine;experimental;unknown;
P33038;BE0001291;DB04474;1-Anilino-8-Naphthalene Sulfonate;experimental;unknown;
P0A749;BE0000468;DB00828;Fosfomycin;approved;yes;inhibitor
P0A751;BE0001252;DB03397;Uridine-Diphosphate-N-Acetylglucosamine;experimental;unknown;
O66529;BE0001449;DB02214;6,7-Dioxo-5h-8-Ribitylaminolumazine;experimental;unknown;
O66529;BE0001449;DB04128;5-Nitroso-6-Ribityl-Amino-2,4(1h,3h)-Pyrimidinedione;experimental;unknown;
O66529;BE0001449;DB04262;3-(7-hydroxy-8-ribityllumazine-6-yl) propionic acid;experimental;unknown;
P61713;BE0001793;DB04162;5-Nitro-6-Ribityl-Amino-2,4(1h,3h)-Pyrimidinedione;experimental;unknown;
P17169;BE0001423;DB02007;alpha-D-glucose 6-phosphate;experimental;unknown;
P17169;BE0001423;DB02445;2-Deoxy-2-Amino Glucitol-6-Phosphate;experimental;unknown;
P17169;BE0001423;DB02446;Glutamine hydroxamate;experimental;unknown;
P17169;BE0001423;DB02657;Glucosamine 6-Phosphate;experimental;unknown;
