P26392--Q9HU23--52.2--3.5E-97--rmlD PA5162--Carbohydrate biosynthesis; dTDP-L-rhamnose biosynthesis. --FUNCTION: Catalyzes the reduction of dTDP-6-deoxy-L-lyxo-4-hexulose to yield dTDP-L-rhamnose. {ECO:0000256|RuleBase:RU364082}.--CATALYTIC ACTIVITY: Reaction=dTDP-beta-L-rhamnose + NADP(+) = dTDP-4-dehydro-beta-L-rhamnose + H(+) + NADPH; Xref=Rhea:RHEA:21796, ChEBI:CHEBI:15378, ChEBI:CHEBI:57510, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:62830; EC=1.1.1.133; Evidence={ECO:0000256|RuleBase:RU364082};--   --
P15770--P43904--52.9--1.9E-85--aroE PA0025--Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 4/7. --FUNCTION: Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA). {ECO:0000255|HAMAP-Rule:MF_00222}.--CATALYTIC ACTIVITY: ; Reaction=NADP(+) + shikimate = 3-dehydroshikimate + H(+) + NADPH; Xref=Rhea:RHEA:17737, ChEBI:CHEBI:15378, ChEBI:CHEBI:16630, ChEBI:CHEBI:36208, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.1.1.25; Evidence={ECO:0000255|HAMAP-Rule:MF_00222};--   --
P43876--P43904--44.5--8.1E-61--aroE PA0025--Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 4/7. --FUNCTION: Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA). {ECO:0000255|HAMAP-Rule:MF_00222}.--CATALYTIC ACTIVITY: ; Reaction=NADP(+) + shikimate = 3-dehydroshikimate + H(+) + NADPH; Xref=Rhea:RHEA:17737, ChEBI:CHEBI:15378, ChEBI:CHEBI:16630, ChEBI:CHEBI:36208, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.1.1.25; Evidence={ECO:0000255|HAMAP-Rule:MF_00222};--   --
Q56268--Q51375--61.7--2.1E-142--leuB PA3118--Amino-acid biosynthesis; L-leucine biosynthesis; L-leucine from 3-methyl-2-oxobutanoate: step 3/4. --FUNCTION: Catalyzes the oxidation of 3-carboxy-2-hydroxy-4-methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2-oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate.--CATALYTIC ACTIVITY: ; Reaction=(2R,3S)-3-isopropylmalate + NAD(+) = 4-methyl-2-oxopentanoate + CO2 + NADH; Xref=Rhea:RHEA:32271, ChEBI:CHEBI:16526, ChEBI:CHEBI:17865, ChEBI:CHEBI:35121, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.1.1.85;--   --
P04036--P38103--63.0--3.5E-109--dapB PA4759--Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 4/4. --FUNCTION: Catalyzes the conversion of 4-hydroxy-tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate. {ECO:0000255|HAMAP-Rule:MF_00102}.--CATALYTIC ACTIVITY: ; Reaction=(S)-2,3,4,5-tetrahydrodipicolinate + H2O + NAD(+) = (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + H(+) + NADH; Xref=Rhea:RHEA:35323, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:16845, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:67139; EC=1.17.1.8; Evidence={ECO:0000255|HAMAP-Rule:MF_00102};; CATALYTIC ACTIVITY: ; Reaction=(S)-2,3,4,5-tetrahydrodipicolinate + H2O + NADP(+) = (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + H(+) + NADPH; Xref=Rhea:RHEA:35331, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:16845, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:67139; EC=1.17.1.8; Evidence={ECO:0000255|HAMAP-Rule:MF_00102};--   --4YWJ;
P08373--Q9HZM7--45.3--1.8E-80--murB PA2977--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Cell wall formation. {ECO:0000255|HAMAP-Rule:MF_00037}.--CATALYTIC ACTIVITY: ; Reaction=NADP(+) + UDP-N-acetyl-alpha-D-muramate = H(+) + NADPH + UDP-N-acetyl-3-O-(1-carboxyvinyl)-alpha-D-glucosamine; Xref=Rhea:RHEA:12248, ChEBI:CHEBI:15378, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:68483, ChEBI:CHEBI:70757; EC=1.3.1.98; Evidence={ECO:0000255|HAMAP-Rule:MF_00037};--   --4JAY;4JB1;
P0AEK4--Q9ZFE4--69.2--2.2E-123--fabI PA1806--Lipid metabolism; fatty acid biosynthesis. --FUNCTION: Catalyzes the reduction of a carbon-carbon double bond in an enoyl moiety that is covalently linked to an acyl carrier protein (ACP). Involved in the elongation cycle of fatty acid which are used in the lipid metabolism (By similarity). {ECO:0000250}.--CATALYTIC ACTIVITY: Reaction=a 2,3-saturated acyl-[ACP] + NAD(+) = a (2E)-enoyl-[ACP] + H(+) + NADH; Xref=Rhea:RHEA:10240, Rhea:RHEA-COMP:9925, Rhea:RHEA-COMP:9926, ChEBI:CHEBI:15378, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:78784, ChEBI:CHEBI:78785; EC=1.3.1.9;--   --4NQZ;4NR0;
P0ABQ4--Q9I6E3--44.8--1.3E-39--folA PA0350--Cofactor biosynthesis; tetrahydrofolate biosynthesis; 5,6,7,8-tetrahydrofolate from 7,8-dihydrofolate: step 1/1. --FUNCTION: Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis. {ECO:0000256|PIRNR:PIRNR000194}.--CATALYTIC ACTIVITY: ; Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + H(+) + NADPH; Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};--   --
P9WNX1--Q9I6E3--45.9--3.0E-28--folA PA0350--Cofactor biosynthesis; tetrahydrofolate biosynthesis; 5,6,7,8-tetrahydrofolate from 7,8-dihydrofolate: step 1/1. --FUNCTION: Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis. {ECO:0000256|PIRNR:PIRNR000194}.--CATALYTIC ACTIVITY: ; Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + H(+) + NADPH; Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};--   --
P13009--Q9I2Q2--67.7--0.0--metH PA1843--Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-methionine from L-homocysteine (MetH route): step 1/1. --FUNCTION: Catalyzes the transfer of a methyl group from methyl-cobalamin to homocysteine, yielding enzyme-bound cob(I)alamin and methionine. Subsequently, remethylates the cofactor using methyltetrahydrofolate (By similarity). {ECO:0000250}.--CATALYTIC ACTIVITY: ; Reaction=(6S)-5-methyl-5,6,7,8-tetrahydrofolate + L-homocysteine = (6S)-5,6,7,8-tetrahydrofolate + L-methionine; Xref=Rhea:RHEA:11172, ChEBI:CHEBI:18608, ChEBI:CHEBI:57453, ChEBI:CHEBI:57844, ChEBI:CHEBI:58199; EC=2.1.1.13;--   --
P0CI79--Q9I6F1--39.6--8.6E-60--thyA PA0342--Pyrimidine metabolism; dTTP biosynthesis. --FUNCTION: Catalyzes the reductive methylation of 2'-deoxyuridine-5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by-product. This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00008}.--CATALYTIC ACTIVITY: ; Reaction=(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + dUMP = 7,8-dihydrofolate + dTMP; Xref=Rhea:RHEA:12104, ChEBI:CHEBI:15636, ChEBI:CHEBI:57451, ChEBI:CHEBI:63528, ChEBI:CHEBI:246422; EC=2.1.1.45; Evidence={ECO:0000255|HAMAP-Rule:MF_00008};--   --
